agent,grouping_type,group_value,papers_n,matched_pairs_n,semantic_matches_n,semantic_match_rate,all_matched_rate,ge60_matched_rate,count_mismatch_rate
CC,overall,all,54,181,133,0.7348,0.3333,0.8704,0.0
CC,time,pre-cutoff,46,151,111,0.7351,0.3261,0.8913,0.0
CC,time,post-cutoff,8,30,22,0.7333,0.375,0.75,0.0
CC,language,R,43,147,107,0.7279,0.3256,0.8605,0.0
CC,language,Python,10,34,28,0.8235,0.4,1.0,0.0
CC,language,Stata,8,25,18,0.72,0.25,0.875,0.0
CC,Repo,(none),1,5,4,0.8,0.0,1.0,0.0
CC,Repo,CodeOcean,1,4,4,1.0,1.0,1.0,0.0
CC,Repo,Dataverse,16,54,39,0.7222,0.3125,0.875,0.0
CC,Repo,Dryad,2,6,5,0.8333,0.5,1.0,0.0
CC,Repo,Github,3,14,10,0.7143,0.3333,0.6667,0.0
CC,Repo,OSF,30,95,68,0.7158,0.3,0.8667,0.0
CC,Repo,Zenodo,1,3,3,1.0,1.0,1.0,0.0
CX,overall,all,54,180,126,0.7,0.2407,0.7778,0.0185
CX,time,pre-cutoff,46,150,104,0.6933,0.2391,0.7826,0.0217
CX,time,post-cutoff,8,30,22,0.7333,0.25,0.75,0.0
CX,language,R,43,146,102,0.6986,0.2326,0.7674,0.0233
CX,language,Python,10,34,29,0.8529,0.5,1.0,0.0
CX,language,Stata,8,25,16,0.64,0.125,0.75,0.0
CX,Repo,(none),1,5,4,0.8,0.0,1.0,0.0
CX,Repo,CodeOcean,1,4,4,1.0,1.0,1.0,0.0
CX,Repo,Dataverse,16,53,38,0.717,0.25,0.75,0.0625
CX,Repo,Dryad,2,6,5,0.8333,0.5,1.0,0.0
CX,Repo,Github,3,14,11,0.7857,0.6667,0.6667,0.0
CX,Repo,OSF,30,95,61,0.6421,0.1333,0.7667,0.0
CX,Repo,Zenodo,1,3,3,1.0,1.0,1.0,0.0
